ilan_id,id,Aciklama_Yetenek_Eslesme_Sayisi,Aciklama_Yetenek_Eslesen_Kelimeler,Aciklama_Dil_Eslesme_Sayisi,Aciklama_Dil_Eslesen_Kelimeler,Konum_Eslesme_Sayisi,Konum_Eslesen_Kelimeler,Egitim_Eslesme_Sayisi,Egitim_Eslesen_Kelimeler,Deneyim_Eslesme,Benzerlik_Skoru
1,1,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1,0.49
1,2,3,"iş, kalite, güvenliği",1,i̇ngilizce,1,i̇stanbul,1,lisans,1,0.6430000000000001
1,3,0,,1,i̇ngilizce,1,i̇stanbul,0,,0,0.18000000000000002
1,4,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1,0.49
1,5,0,,1,i̇ngilizce,0,,0,,0,0.04
1,6,0,,0,,0,,1,lisans,1,0.31
1,7,0,,0,,0,,1,lisans,1,0.31
1,12,0,,0,,0,,1,lisans,1,0.31
1,13,0,,0,,1,i̇stanbul,0,,1,0.4
1,14,0,,0,,1,i̇stanbul,1,lisans,1,0.45
1,15,0,,0,,1,i̇stanbul,1,lisans,0,0.19
1,16,0,,0,,1,i̇stanbul,0,,0,0.14
1,8,0,,0,,0,,1,lisans,1,0.31
1,11,0,,1,i̇ngilizce,0,,1,lisans,1,0.35
1,12,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,0,0.23
2,1,0,,1,i̇ngilizce,0,,0,,0,0.04
2,2,0,,1,i̇ngilizce,0,,0,,1,0.3
2,3,3,"office, iletişim, ms",1,i̇ngilizce,0,,1,lise,1,0.503
2,4,0,,1,i̇ngilizce,0,,0,,0,0.04
2,5,0,,1,i̇ngilizce,1,aydın,0,,0,0.18000000000000002
2,6,1,iletişim,0,,0,,0,,1,0.311
2,7,0,,0,,0,,0,,1,0.26
2,12,0,,0,,0,,0,,0,0.0
2,13,0,,0,,0,,0,,1,0.26
2,14,0,,0,,0,,0,,0,0.0
2,15,0,,0,,0,,0,,0,0.0
2,16,0,,0,,0,,0,,0,0.0
2,8,0,,0,,0,,0,,1,0.26
2,11,0,,1,i̇ngilizce,0,,0,,0,0.04
2,12,0,,1,i̇ngilizce,0,,0,,0,0.04
3,1,2,"java, veri",1,i̇ngilizce,1,i̇stanbul,1,lisans,1,0.5920000000000001
3,2,1,iş,1,i̇ngilizce,1,i̇stanbul,1,lisans,0,0.28099999999999997
3,3,1,iletişim,1,i̇ngilizce,1,i̇stanbul,0,,0,0.231
3,4,8,"yazılım, bilgisayar, oracle, problem, cyberark, çözme, veritabanları, java",1,i̇ngilizce,1,i̇stanbul,1,lisans,1,0.8980000000000001
3,5,2,"java, oracle",1,i̇ngilizce,0,,1,lisansüstü,0,0.19200000000000003
3,6,1,iletişim,0,,0,,1,lisans,0,0.101
3,7,1,bilgisi,0,,0,,1,lisans,0,0.101
3,12,2,"java, oracle",0,,0,,1,lisans,1,0.412
3,13,2,"java, oracle",0,,1,i̇stanbul,1,lisansüstü,0,0.29200000000000004
3,14,1,oracle,0,,1,i̇stanbul,1,lisans,1,0.501
3,15,2,"java, oracle",0,,1,i̇stanbul,1,lisans,0,0.29200000000000004
3,16,1,oracle,0,,1,i̇stanbul,0,,0,0.191
3,8,0,,0,,0,,1,lisans,0,0.05
3,11,0,,1,i̇ngilizce,0,,1,lisans,1,0.35
3,12,2,"java, oracle",1,i̇ngilizce,1,i̇stanbul,1,lisans,0,0.332
4,1,0,,0,,1,i̇stanbul,1,lisans,1,0.45
4,2,0,,0,,1,i̇stanbul,1,lisans,1,0.45
4,3,0,,0,,1,i̇stanbul,0,,1,0.4
4,4,0,,0,,1,i̇stanbul,1,lisans,1,0.45
4,5,0,,0,,0,,0,,1,0.26
4,6,0,,0,,0,,1,lisans,1,0.31
4,7,0,,0,,0,,1,lisans,1,0.31
4,12,0,,0,,0,,1,lisans,1,0.31
4,13,0,,0,,1,i̇stanbul,0,,1,0.4
4,14,0,,0,,1,i̇stanbul,1,lisans,1,0.45
4,15,0,,0,,1,i̇stanbul,1,lisans,1,0.45
4,16,0,,0,,1,i̇stanbul,0,,1,0.4
4,8,0,,0,,0,,1,lisans,1,0.31
4,11,0,,0,,0,,1,lisans,1,0.31
4,12,0,,0,,1,i̇stanbul,1,lisans,1,0.45
5,1,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,0,0.23
5,2,2,"iş, kalite",1,i̇ngilizce,1,i̇stanbul,1,lisans,0,0.332
5,3,3,"office, iletişim, ms",1,i̇ngilizce,1,i̇stanbul,0,,0,0.333
5,4,2,"çözme, problem",1,i̇ngilizce,1,i̇stanbul,1,lisans,1,0.5920000000000001
5,5,0,,1,i̇ngilizce,0,,1,lisansüstü,0,0.09
5,6,2,"iletişim, ilişkileri",0,,0,,1,lisans,0,0.15200000000000002
5,7,0,,0,,0,,1,lisans,0,0.05
5,12,0,,0,,0,,1,lisans,1,0.31
5,13,0,,0,,1,i̇stanbul,1,lisansüstü,0,0.19
5,14,0,,0,,1,i̇stanbul,1,lisans,0,0.19
5,15,0,,0,,1,i̇stanbul,1,lisans,1,0.45
5,16,0,,0,,1,i̇stanbul,0,,1,0.4
5,8,0,,0,,0,,1,lisans,0,0.05
5,11,0,,1,i̇ngilizce,0,,1,lisans,1,0.35
5,12,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1,0.49
6,1,0,,1,i̇ngilizce,0,,1,lisans,1,0.35
6,2,0,,1,i̇ngilizce,0,,1,lisans,1,0.35
6,3,3,"office, iletişim, ms",1,i̇ngilizce,0,,0,,1,0.453
6,4,1,yazılım,1,i̇ngilizce,0,,1,lisans,1,0.40099999999999997
6,5,0,,1,i̇ngilizce,0,,0,,1,0.3
6,6,1,iletişim,0,,0,,1,lisans,1,0.361
6,7,0,,0,,0,,1,lisans,1,0.31
6,12,0,,0,,0,,1,lisans,1,0.31
6,13,0,,0,,0,,0,,1,0.26
6,14,0,,0,,0,,1,lisans,1,0.31
6,15,0,,0,,0,,1,lisans,1,0.31
6,16,0,,0,,0,,0,,1,0.26
6,8,0,,0,,0,,1,lisans,1,0.31
6,11,0,,1,i̇ngilizce,0,,1,lisans,1,0.35
6,12,0,,1,i̇ngilizce,0,,1,lisans,1,0.35
7,1,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1,0.49
7,2,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1,0.49
7,3,0,,1,i̇ngilizce,1,i̇stanbul,0,,0,0.18000000000000002
7,4,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1,0.49
7,5,0,,1,i̇ngilizce,0,,0,,0,0.04
7,6,0,,0,,0,,1,lisans,1,0.31
7,7,0,,0,,0,,1,lisans,1,0.31
7,12,0,,0,,0,,1,lisans,1,0.31
7,13,0,,0,,1,i̇stanbul,0,,1,0.4
7,14,0,,0,,1,i̇stanbul,1,lisans,1,0.45
7,15,0,,0,,1,i̇stanbul,1,lisans,1,0.45
7,16,0,,0,,1,i̇stanbul,0,,1,0.4
7,8,0,,0,,0,,1,lisans,1,0.31
7,11,0,,1,i̇ngilizce,0,,1,lisans,1,0.35
7,12,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1,0.49
8,1,0,,0,,1,i̇stanbul,1,lisans,1,0.45
8,2,0,,0,,1,i̇stanbul,1,lisans,1,0.45
8,3,1,iletişim,0,,1,i̇stanbul,0,,1,0.451
8,4,3,"bilgisayar, çözme, problem",0,,1,i̇stanbul,1,lisans,1,0.6030000000000001
8,5,0,,0,,0,,0,,1,0.26
8,6,1,iletişim,0,,0,,1,lisans,1,0.361
8,7,1,bilgisi,0,,0,,1,lisans,1,0.361
8,12,0,,0,,0,,1,lisans,1,0.31
8,13,0,,0,,1,i̇stanbul,0,,1,0.4
8,14,0,,0,,1,i̇stanbul,1,lisans,1,0.45
8,15,0,,0,,1,i̇stanbul,1,lisans,1,0.45
8,16,0,,0,,1,i̇stanbul,0,,1,0.4
8,8,0,,0,,0,,1,lisans,1,0.31
8,11,0,,0,,0,,1,lisans,1,0.31
8,12,0,,0,,1,i̇stanbul,1,lisans,1,0.45
9,1,0,,0,,0,,0,,1,0.26
9,2,2,"iş, kalite",0,,0,,0,,1,0.362
9,3,3,"office, iletişim, ms",0,,0,,1,lise,1,0.463
9,4,0,,0,,0,,0,,1,0.26
9,5,0,,0,,0,,0,,1,0.26
9,6,1,iletişim,0,,0,,0,,1,0.311
9,7,1,bilgisi,0,,0,,0,,1,0.311
9,12,0,,0,,0,,0,,1,0.26
9,13,0,,0,,0,,0,,1,0.26
